ros_distro,package,rosdistro_repo_key,repo_url,repo_url_type,github_owner,github_repo,resolved,resolved_via
kilted,ackermann_msgs,ackermann_msgs,https://github.com/ros-drivers/ackermann_msgs.git,source,ros-drivers,ackermann_msgs,True,rosdistro_release_packages
kilted,ackermann_steering_controller,ros2_controllers,https://github.com/ros-controls/ros2_controllers.git,source,ros-controls,ros2_controllers,True,rosdistro_release_packages
kilted,action_msgs,rcl_interfaces,https://github.com/ros2/rcl_interfaces.git,source,ros2,rcl_interfaces,True,rosdistro_release_packages
kilted,action_tutorials_cpp,demos,https://github.com/ros2/demos.git,source,ros2,demos,True,rosdistro_release_packages
kilted,action_tutorials_py,demos,https://github.com/ros2/demos.git,source,ros2,demos,True,rosdistro_release_packages
kilted,actionlib_msgs,common_interfaces,https://github.com/ros2/common_interfaces.git,source,ros2,common_interfaces,True,rosdistro_release_packages
kilted,actuator_msgs,actuator_msgs,https://github.com/rudislabs/actuator_msgs.git,source,rudislabs,actuator_msgs,True,rosdistro_release_packages
kilted,adaptive_component,adaptive_component,https://github.com/ros-acceleration/adaptive_component.git,source,ros-acceleration,adaptive_component,True,rosdistro_release_packages
kilted,adi_iio,adi_iio,https://github.com/analogdevicesinc/iio_ros2.git,source,analogdevicesinc,iio_ros2,True,rosdistro_repo_key_name_match
kilted,admittance_controller,ros2_controllers,https://github.com/ros-controls/ros2_controllers.git,source,ros-controls,ros2_controllers,True,rosdistro_release_packages
kilted,ads_vendor,ads_vendor,https://github.com/b-robotized/ads_vendor.git,source,b-robotized,ads_vendor,True,rosdistro_release_packages
kilted,ament_acceleration,ament_acceleration,https://github.com/ros-acceleration/ament_acceleration.git,source,ros-acceleration,ament_acceleration,True,rosdistro_release_packages
kilted,ament_black,ament_black,https://github.com/botsandus/ament_black.git,source,botsandus,ament_black,True,rosdistro_release_packages
kilted,ament_clang_format,ament_lint,https://github.com/ament/ament_lint.git,source,ament,ament_lint,True,rosdistro_release_packages
kilted,ament_clang_tidy,ament_lint,https://github.com/ament/ament_lint.git,source,ament,ament_lint,True,rosdistro_release_packages
kilted,ament_cmake,ament_cmake,https://github.com/ament/ament_cmake.git,source,ament,ament_cmake,True,rosdistro_release_packages
kilted,ament_cmake_auto,ament_cmake,https://github.com/ament/ament_cmake.git,source,ament,ament_cmake,True,rosdistro_release_packages
kilted,ament_cmake_black,ament_black,https://github.com/botsandus/ament_black.git,source,botsandus,ament_black,True,rosdistro_release_packages
kilted,ament_cmake_catch2,ament_cmake_catch2,https://github.com/open-rmf/ament_cmake_catch2.git,source,open-rmf,ament_cmake_catch2,True,rosdistro_release_packages
kilted,ament_cmake_clang_format,ament_lint,https://github.com/ament/ament_lint.git,source,ament,ament_lint,True,rosdistro_release_packages
kilted,ament_cmake_clang_tidy,ament_lint,https://github.com/ament/ament_lint.git,source,ament,ament_lint,True,rosdistro_release_packages
kilted,ament_cmake_copyright,ament_lint,https://github.com/ament/ament_lint.git,source,ament,ament_lint,True,rosdistro_release_packages
